Frame_No,ObjID,x1,y1,x2,y2,Class_Name,Confidence,Direction,Aggregate_Count
13,2,191,122,695,350,car,0.77,N/A,0
13,1,1569,175,1900,416,car,0.85,N/A,0
14,19,387,50,604,139,car,0.28,N/A,0
14,11,1802,813,1917,1015,person,0.37,N/A,0
14,8,1231,281,1447,661,truck,0.43,N/A,0
14,7,379,2,659,115,car,0.48,N/A,0
14,6,992,1,1160,193,car,0.6,N/A,0
14,5,724,65,956,342,truck,0.51,N/A,0
14,4,1242,5,1425,287,car,0.63,N/A,0
14,3,1231,279,1446,659,bus,0.35,N/A,0
14,2,191,122,696,350,car,0.75,N/A,0
14,1,1558,166,1888,403,car,0.83,N/A,0
15,19,389,50,606,139,car,0.33,N/A,0
15,11,1807,815,1916,994,person,0.49,N/A,0
15,8,1232,283,1448,666,truck,0.39,N/A,0
15,7,380,1,658,114,car,0.43,N/A,0
15,6,993,1,1160,193,car,0.52,N/A,0
15,5,723,65,956,343,truck,0.5,N/A,0
15,4,1241,7,1425,290,car,0.56,N/A,0
15,3,1231,282,1446,663,bus,0.34,N/A,0
15,2,189,123,695,351,car,0.77,N/A,0
15,1,1553,162,1881,395,car,0.83,N/A,0
16,20,845,960,987,1079,person,0.47,N/A,0
16,19,389,50,605,139,car,0.31,N/A,0
16,8,1232,286,1449,669,truck,0.45,N/A,0
16,7,379,0,657,111,car,0.42,N/A,0
16,6,993,1,1160,192,car,0.45,N/A,0
16,5,722,65,956,343,truck,0.47,N/A,0
16,4,1240,5,1424,287,car,0.51,N/A,0
16,2,185,123,693,352,car,0.8,N/A,0
16,1,1549,156,1874,387,car,0.8,N/A,0
17,22,381,24,623,131,car,0.25,N/A,0
17,20,837,964,972,1079,person,0.26,N/A,0
17,19,388,50,606,139,car,0.27,N/A,0
17,8,1231,289,1450,675,truck,0.45,N/A,0
17,7,374,0,656,109,car,0.38,N/A,0
17,6,994,1,1160,192,car,0.47,N/A,0
17,5,720,66,956,343,truck,0.44,N/A,0
17,4,1239,6,1424,288,car,0.49,N/A,0
17,2,180,123,691,352,car,0.81,N/A,0
17,1,1542,151,1865,382,car,0.84,N/A,0
18,23,1794,834,1916,1082,person,0.52,N/A,0
18,22,382,24,622,130,car,0.32,N/A,0
18,20,811,965,953,1080,person,0.3,N/A,0
18,19,388,50,606,139,car,0.34,N/A,0
18,8,1230,291,1450,679,truck,0.45,N/A,0
18,7,378,1,657,109,car,0.43,N/A,0
18,6,994,1,1160,192,car,0.54,N/A,0
18,5,721,65,957,342,truck,0.5,N/A,0
18,4,1240,4,1425,283,car,0.52,N/A,0
18,2,181,123,693,352,car,0.79,N/A,0
18,1,1539,146,1858,371,car,0.87,N/A,0
19,23,1788,836,1915,1082,person,0.57,N/A,0
19,22,388,24,623,130,car,0.28,N/A,0
19,20,813,965,963,1081,person,0.25,N/A,0
19,19,389,47,609,138,car,0.3,N/A,0
19,8,1230,292,1451,682,truck,0.46,N/A,0
